Grade,Height,FlightNumber,CRSArrTime,TailNumber,DestAirport,OriginAirport,CRSDepTime,AircraftType,TaskType,Date,Speed,Status,DelayMinutes
0,0,0,0.506224066,16,3,0,0.209195402,0,0,0,0,0,0
0,0,0,0.506224066,13,3,0,0.209195402,0,0,0.24137931,0,0,0
0,0,0,0.506224066,10,3,0,0.209195402,0,0,0.379310345,0,0,1
0,0,0,0.506224066,5,3,0,0.209195402,0,0,0.482758621,0,0,0
0,0,0,0.506224066,17,3,0,0.209195402,0,0,0.620689655,0,0,1
0,0,0,0.506224066,7,3,0,0.209195402,0,0,0.862068965,0,0,0
0,1,1,1,12,4,0,0.448275862,0,0,0,0,0,0
0,1,1,1,19,4,0,0.448275862,0,0,0.034482759,0,0,0
0,1,1,1,9,4,0,0.448275862,0,0,0.103448276,0,0,0
0,1,1,1,18,4,0,0.448275862,0,0,0.24137931,0,0,0
0,2,2,0.423236515,15,0,0,0,0,0,0.379310345,0,0,1
0,1,1,1,11,4,0,0.448275862,0,0,0.482758621,0,0,1
0,1,1,1,8,4,0,0.448275862,0,0,0.517241379,0,0,1
0,1,1,1,17,4,0,0.448275862,0,0,0.586206896,0,0,1
0,1,1,1,20,4,0,0.448275862,0,0,0.655172414,0,0,0
0,1,1,1,6,4,0,0.448275862,0,0,0.75862069,0,0,1
0,2,4,0.767634855,0,1,0,0.172413793,1,0,0.931034483,0,0,0
0,2,4,0.767634855,3,1,0,0.172413793,1,0,1,0,0,0
0,3,5,0,3,2,0,1,1,0,0,0,0,0
0,3,5,0,4,2,0,1,1,0,0.034482759,0,0,0
0,3,5,0,3,2,0,1,1,0,0.103448276,0,0,0
0,3,5,0,4,2,0,1,1,0,0.172413793,0,0,0
0,3,5,0,4,2,0,1,1,0,0.24137931,0,0,0
0,3,5,0,3,2,0,1,1,0,0.275862069,0,0,0
0,2,3,0.742738589,0,0,0,0.167816092,1,0,0.413793103,0,0,1
0,2,4,0.767634855,2,1,0,0.172413793,1,0,0,0,0,0
0,2,4,0.767634855,0,1,0,0.172413793,1,0,0.034482759,0,0,0
0,2,4,0.767634855,1,1,0,0.172413793,1,0,0.137931034,0,0,0
0,2,4,0.767634855,3,1,0,0.172413793,1,0,0.172413793,0,0,0
0,2,4,0.767634855,14,1,0,0.172413793,1,0,0.206896552,0,0,0
0,2,4,0.767634855,1,1,0,0.172413793,1,0,0.275862069,0,0,0
0,2,4,0.767634855,1,1,0,0.172413793,1,0,0.344827586,0,0,0
0,2,4,0.767634855,0,1,0,0.172413793,1,0,0.448275862,0,0,0
0,2,4,0.767634855,1,1,0,0.172413793,1,0,0.551724138,0,0,1
0,2,4,0.767634855,0,1,0,0.172413793,1,0,0.620689655,0,0,1
0,2,4,0.767634855,0,1,0,0.172413793,1,0,0.689655172,0,0,1
0,2,4,0.767634855,1,1,0,0.172413793,1,0,0.75862069,0,0,1
0,2,4,0.767634855,1,1,0,0.172413793,1,0,0.827586207,0,0,1
0,3,5,0,3,2,0,1,1,0,0.310344828,0,0,0
0,3,5,0,4,2,0,1,1,0,0.344827586,0,0,0
0,3,5,0,4,2,0,1,1,0,0.413793103,0,0,0
0,3,5,0,3,2,0,1,1,0,0.482758621,0,0,0
0,3,5,0,4,2,0,1,1,0,0.551724138,0,0,0
0,3,5,0,3,2,0,1,1,0,0.620689655,0,0,0
0,3,5,0,14,2,0,1,1,0,0.655172414,0,0,0
0,3,5,0,14,2,0,1,1,0,0.724137931,0,0,0
0,3,5,0,4,2,0,1,1,0,0.793103448,0,0,0
0,3,5,0,14,2,0,1,1,0,0.862068965,0,0,0
